Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.000106670270633216,0.0572278256509815,0.00180200077468832,0,0,0,0.600820640619417,0.00079861144929563,7.58401782035291E-08,1.31247292796133E-06,0.00171025508499578,-2.05748876031157E-07,0.000982061636282653,0,0,0,0,0,0,package://Mobile_base/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Mobile_base/meshes/base_link.STL,,CHS-CMP0005-V1-1;CVR-CMP0001-V1-2;CHS-CMP0009-V1-2;CHS-CMP0005-V1-2;CHS-CMP0009-V1-5;Jetson_nano_asm-1/MainChassisCSI-1;CHS-CMP0013-V1 - Copy-1;CHS-CMP0013-V1 - Copy-2;CHS-CMP0009-V1-4;CHS-CMP0011-V1-1;CHS-CMP0009-V1-3;CHS-CMP0009-V1-1;CHS-CMP0009-V1-8;CHS-CMP0009-V1-7;Jetson_nano_asm-1/RearCapv2-1;CHS-CMP0013-V1 - Copy-4;CHS-CMP0013-V1 - Copy-3;CHS-CMP0009-V1-6;CHS-CMP0010-V2-1;DcBuckConverterWithMount-1;Montaj - L298 DC Motor Drive-2;CVR-CMP0001-V1-1;CHS-CMP0002-V1-1;CHS-CMP0008-V1-3;CHS-ASM0002-V1-2/CHS-CMP0008-V1-1;CHS-ASM0002-V1-2/CHS-CMP0008-V1-2;CHS-CMP0008-V1-2;CHS-ASM0002-V1-2/CHS-CMP0007-V1-1;CHS-CMP0004-V1-4;CHS-CMP0004-V1-5;CHS-CMP0004-V1-1;CHS-CMP0004-V1-3;Motor_25GA370-171x-STEP-1/Motor_25GA370-171x-STEP.STEP-1/Motor_25GA370-171x.STEP-1;CHS-CMP0001-V1-1;Motor_25GA370-171x-STEP-2/Motor_25GA370-171x-STEP.STEP-1/Motor_25GA370-171x.STEP-1;CHS-CMP0001-V1-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
caster_wheel_link,6.9389E-18,0.0047803,4.1273E-18,0,0,0,0.0065128,6.7461E-07,-1.714E-22,-3.2312E-23,7.7471E-07,1.9983E-22,4.8959E-07,0,0,0,0,0,0,package://Mobile_base/meshes/caster_wheel_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Mobile_base/meshes/caster_wheel_link.STL,,CHS-ASM0002-V1-2/CHS-CMP0006-V1-1,Coordinate System6,,base_caster_wheel_joint,fixed,0,0.05,-0.04028,1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
right_wheel_link,6.5408E-11,3.8751E-11,-3.9919E-05,0,0,0,0.035175,1.5237E-05,-2.4182E-10,-3.6516E-14,1.5238E-05,-1.1868E-14,2.5786E-05,0,0,0,0,0,0,package://Mobile_base/meshes/right_wheel_link.STL,0.33333,0.33333,0.33333,1,0,0,0,0,0,0,package://Mobile_base/meshes/right_wheel_link.STL,,65mm_wheel_asm-1/tire-1;65mm_wheel_asm-1/3mm_hub-1;65mm_wheel_asm-1/Wheel-1,Coordinate System4,Axis2,base_right_wheel_joint,continuous,0.08975,-0.0445,-0.02,1.5708,0,1.5708,base_link,0,0,1,,,,,,,,,,,,
left_wheel_link,4.9628E-11,5.7593E-11,-3.9919E-05,0,0,0,0.035175,1.5237E-05,-4.5509E-10,-3.0819E-14,1.5237E-05,-2.29E-14,2.5786E-05,0,0,0,0,0,0,package://Mobile_base/meshes/left_wheel_link.STL,0.33333,0.33333,0.33333,1,0,0,0,0,0,0,package://Mobile_base/meshes/left_wheel_link.STL,,65mm_wheel_asm-2/tire-1;65mm_wheel_asm-2/3mm_hub-1;65mm_wheel_asm-2/Wheel-1,Coordinate System3,Axis1,base_left_wheel_joint,continuous,-0.08975,-0.0445,-0.02,-1.5708,0,1.5708,base_link,0,0,1,,,,,,,,,,,,
lidar_link,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://Mobile_base/meshes/lidar_link.STL,1,1,1,1,0,0,0,0,0,0,package://Mobile_base/meshes/lidar_link.STL,,RPLIDAR C1-1,Coordinate System7,Axis3,base_lidar_joint,fixed,3E-05,2.5E-05,0.20108,1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
